HomeTeam,AwayTeam,HomeScore,AwayScore,Home_xG,Away_xG,Home_shots,Away_shots,Home_corner,Away_corner,Home_PK_Goal,Away_PK_Goal,Home_PK_shots,Away_PK_shots,Home_ToP,GoalDifference
WIC,MAN,0,0,1.64,0.17,23,1,4,2,0,0,0,1,0.56,0
LAR,LEX,0,3,1.63,1.1,15,16,2,6,0,0,1,0,0.55,-3
TUC,DES,1,0,1.81,0.68,17,9,5,1,0,0,0,0,0.59,1
CHM,DOV,0,1,1.15,1.45,15,8,4,5,0,0,1,0,0.53,-1
OAK,ALB,2,2,1.6,1.43,12,19,7,5,0,0,0,0,0.47,0
TAC,SPR,7,0,3.01,1.17,20,15,5,2,0,0,0,0,0.63,7
BAK,BOI,1,0,1.83,0.24,28,7,5,5,0,0,0,0,0.46,1
ANC,FOR,2,2,2.46,1.27,17,8,2,6,0,0,0,0,0.45,0
TOL,SJU,4,1,2.59,0.73,18,13,3,3,0,0,1,0,0.72,3
SAS,PRO,2,0,3.1,0.37,22,7,6,5,0,0,1,0,0.57,2
SFS,JAC,1,2,0.95,1.7,6,12,4,5,0,0,1,0,0.38,-1
DOV,SJU,3,0,1.74,1.06,18,14,6,8,0,0,0,0,0.54,3
FAR,SFS,2,3,1.69,1.64,5,14,9,2,0,0,0,0,0.45,-1
EUG,BAK,0,2,0.86,1.42,18,10,4,4,0,0,1,0,0.48,-2
LRO,FOR,1,0,1.82,0.68,13,8,7,2,0,0,0,0,0.62,1
MAN,CHM,0,2,1.17,1.67,11,13,5,7,0,0,0,1,0.44,-2
BOI,ANC,1,2,1.33,1.18,16,18,4,7,0,0,0,0,0.51,-1
TUC,SAS,1,1,1.46,1.89,12,16,1,7,0,0,0,0,0.59,0
TOL,PRO,2,0,0.49,0.39,15,4,0,2,0,0,0,0,0.55,2
AUG,LAR,4,2,0.9,1.2,1,8,5,2,0,0,0,0,0.59,2
DES,OAK,2,0,0.68,0.4,6,4,0,2,0,0,0,0,0.6,2
REN,ALB,0,1,0.8,0.8,22,6,6,6,0,0,0,0,0.57,-1
LEX,SPR,0,0,1.4,0.53,14,7,6,4,0,0,0,0,0.45,0
MOB,WIC,2,0,1.91,0.88,5,5,3,3,0,0,1,0,0.56,2
JAC,TAC,2,0,2.06,0.7,19,3,8,2,0,0,0,0,0.64,2
FOR,TUC,2,2,2.24,1.05,15,13,6,5,0,0,0,0,0.5,0
SJU,CHM,2,1,1.51,1.34,12,19,6,4,0,0,0,0,0.51,1
SAS,AUG,1,1,1.33,1.14,12,10,1,2,0,0,0,0,0.5,0
ANC,TOL,1,0,2.4,0.71,18,9,3,6,0,0,0,0,0.51,1
PRO,DOV,4,1,1.26,0.16,13,18,6,3,0,0,0,0,0.57,3
LRO,BOI,1,2,1.4,0.99,18,9,5,2,0,0,1,1,0.53,-1
OAK,REN,1,0,1.32,0.91,16,13,4,9,0,0,1,0,0.46,1
SFS,WIC,1,1,2.84,0.3,26,2,8,6,0,0,0,0,0.54,0
BAK,TAC,3,0,0.31,0.41,12,4,7,2,0,0,0,0,0.53,3
MAN,MOB,0,1,0.91,0.85,18,11,3,7,0,0,0,0,0.43,-1
LEX,EUG,2,1,2.34,1.31,13,17,8,7,0,0,1,0,0.61,1
SAS,FOR,2,0,2.22,0.36,18,10,5,5,0,0,2,0,0.49,2
PRO,DES,1,1,0.2,1.04,6,14,4,2,0,0,1,0,0.59,0
BAK,SJU,3,1,2.38,1.49,20,17,8,3,0,0,0,0,0.47,2
ANC,SFS,2,0,1.53,0.48,21,6,5,5,0,0,0,0,0.48,2
DOV,LAR,0,1,1.03,0.72,17,3,5,6,0,0,0,0,0.44,-1
MAN,REN,0,1,0.79,1.02,15,14,8,5,0,0,1,0,0.5,-1
JAC,MOB,3,0,2.58,1.38,19,13,3,10,0,0,0,0,0.64,3
CHM,LEX,2,1,2.08,1.38,19,19,3,8,0,0,0,0,0.58,1
WIC,TUC,0,0,1.17,0.43,4,10,8,6,0,0,0,0,0.51,0
OAK,FAR,1,2,0.23,1.02,13,10,7,6,0,0,1,0,0.5,-1
SPR,AUG,4,1,0.73,0.99,16,13,3,4,0,0,1,1,0.35,3
LRO,TOL,3,0,1.93,0.54,15,9,3,4,0,0,0,0,0.62,3
BOI,TAC,2,1,1.6,0.45,6,8,5,6,0,0,1,0,0.56,1
ALB,EUG,0,1,1.04,0.75,11,11,1,2,0,0,0,0,0.65,-1
EUG,MAN,3,1,2.42,1.75,13,13,7,4,0,0,0,0,0.39,2
MOB,DES,1,1,1.05,1.76,10,9,6,5,0,0,1,0,0.48,0
REN,ANC,0,0,0.55,0.13,3,18,3,4,0,0,1,1,0.54,0
BOI,SAS,3,1,2.57,1.35,24,14,12,6,0,0,0,0,0.69,2
TAC,FAR,1,3,1.44,0.86,10,17,3,7,0,1,0,2,0.6,-2
AUG,PRO,5,3,1.72,1.15,18,11,7,2,2,0,2,1,0.46,2
TUC,BAK,1,1,1.12,1.37,13,15,6,9,0,0,0,0,0.72,0
SJU,JAC,0,0,0.96,0.81,13,17,10,1,0,0,0,0,0.43,0
CHM,LAR,0,1,1.47,1.2,15,11,6,3,0,0,1,0,0.53,-1
LEX,OAK,1,2,2.11,1.25,27,14,11,4,0,0,0,0,0.59,-1
TOL,DOV,1,2,0.49,1.08,10,16,6,2,0,0,0,0,0.63,-1
ALB,WIC,2,3,2.61,2.09,12,17,7,4,0,0,0,0,0.43,-1
SFS,LRO,1,2,2.17,0.72,18,10,8,7,0,0,0,0,0.49,-1
FOR,SPR,1,0,2.15,0.14,21,13,7,3,0,0,1,0,0.77,1
FAR,REN,2,1,1.92,0.63,13,7,6,1,0,0,0,0,0.48,1
MAN,LRO,3,1,1.87,1.32,18,10,3,6,0,0,0,2,0.53,2
TAC,FOR,1,2,1.67,0.63,17,17,5,6,0,0,0,0,0.42,-1
PRO,LEX,1,1,1.07,0.99,12,15,5,6,0,0,1,0,0.54,0
DOV,TUC,1,3,1.84,1.04,17,11,1,5,0,2,1,2,0.5,-2
SAS,SFS,1,1,1.55,0.64,12,9,4,3,0,0,0,1,0.38,0
JAC,AUG,2,1,2.21,1.1,16,8,8,0,0,0,0,1,0.53,1
BAK,ALB,3,3,1.53,1.18,11,13,5,2,0,0,0,0,0.48,0
WIC,BOI,3,3,1.54,1.18,17,19,12,7,0,0,2,0,0.62,0
LAR,MOB,1,1,1.49,0.51,14,11,8,3,0,0,0,0,0.53,0
OAK,EUG,3,0,2.12,0.22,13,2,2,1,0,0,0,0,0.5,3
SJU,TOL,2,3,1.41,1.43,10,17,6,6,0,0,0,0,0.56,-1
SPR,ANC,3,2,1.6,0.67,19,7,8,3,1,0,1,0,0.49,1
REN,SAS,2,0,1.78,0.72,19,14,6,6,0,0,0,1,0.54,2
DES,SJU,1,1,1.36,0.35,7,4,16,4,0,0,0,0,0.55,0
WIC,PRO,0,4,0.89,2.38,20,18,0,5,0,0,1,0,0.62,-4
CHM,JAC,0,0,0.36,0.63,18,14,2,2,0,0,0,0,0.44,0
ALB,OAK,0,1,0.81,1.14,3,13,6,2,0,0,0,0,0.53,-1
EUG,TUC,2,0,1.34,0.78,13,6,2,4,0,0,0,0,0.45,2
DES,MAN,2,1,0.6,0.52,11,6,7,2,0,0,0,0,0.6,1
ALB,SAS,2,0,0.78,0.9,9,14,3,4,0,0,2,0,0.46,2
TAC,SFS,0,2,1.35,0.91,14,9,6,4,0,0,0,0,0.37,-2
BOI,FAR,0,3,1.53,1.87,10,11,7,4,0,0,0,0,0.57,-3
JAC,PRO,2,3,2.61,1.07,19,9,1,2,0,0,0,0,0.51,-1
ANC,BAK,1,0,2.32,0.12,15,5,8,6,0,0,0,0,0.55,1
TOL,LAR,3,2,2.09,1.51,11,12,11,8,0,0,0,0,0.53,1
CHM,AUG,0,1,1.28,1.3,14,9,8,5,0,0,0,0,0.43,-1
LEX,DOV,2,0,0.95,0.97,8,18,3,7,0,0,0,0,0.49,2
SJU,SPR,2,3,0.63,2.02,6,18,6,5,1,0,2,0,0.53,-1
LRO,REN,2,2,2.41,0.81,13,14,8,6,0,0,0,0,0.49,0
FOR,WIC,3,0,3.04,1.06,20,17,6,9,0,0,0,0,0.44,3
OAK,MOB,2,3,2.62,0.42,23,7,7,5,0,0,1,0,0.5,-1
LEX,LRO,3,2,2.36,1.8,22,5,9,5,0,0,0,0,0.4,1
DOV,MAN,1,2,1.99,0.4,15,6,7,1,0,0,0,0,0.44,-1
ANC,CHM,1,0,2.38,0.37,16,3,8,2,0,0,0,0,0.42,1
FAR,DES,1,4,2.13,2.63,15,18,3,6,0,0,0,1,0.52,-3
LAR,SJU,1,0,1.51,0.49,4,19,8,4,0,0,0,0,0.43,1
TUC,JAC,2,2,0.88,1.3,18,20,3,5,0,0,0,0,0.51,0
PRO,AUG,1,3,2.28,1.58,17,16,2,5,0,0,0,0,0.43,-2
SPR,TOL,1,2,1.46,0.98,16,12,9,2,0,0,1,0,0.48,-1
MOB,ALB,3,1,0.46,0.99,11,8,3,6,0,0,0,0,0.56,2
SAS,WIC,2,0,0.83,0.36,10,8,3,2,1,0,1,0,0.38,2
FOR,TAC,3,1,2.89,0.9,21,16,5,8,0,0,0,0,0.62,2
SFS,EUG,2,0,1.38,0.19,19,7,8,3,0,0,1,0,0.62,2
OAK,BAK,0,1,1.05,0.98,12,14,3,2,0,0,0,0,0.62,-1
REN,BOI,1,1,0.51,1.5,9,16,8,3,0,0,0,0,0.69,0
FAR,SJU,4,1,2.09,0.32,15,10,7,4,0,0,0,1,0.62,3
AUG,DES,0,3,0.78,2.3,22,15,4,7,0,0,0,0,0.64,-3
EUG,ANC,2,5,1.56,1.09,12,9,8,2,0,0,0,0,0.42,-3
MOB,LAR,0,1,1.07,0.84,11,1,3,9,0,0,0,0,0.66,-1
SAS,DOV,1,2,1.91,0.98,20,4,8,1,0,0,0,0,0.47,-1
LRO,SPR,1,2,2.53,1.39,11,7,3,3,0,0,0,0,0.72,-1
SFS,REN,1,4,1.36,1.31,20,5,4,4,0,0,0,0,0.52,-3
BAK,FOR,1,0,1.7,0.48,22,2,7,1,0,0,1,0,0.37,1
SPR,LEX,3,0,1.73,0.39,18,13,3,1,0,0,0,0,0.52,3
ANC,TUC,0,1,1.59,0.83,14,15,4,9,0,0,0,0,0.51,-1
WIC,FAR,0,3,1.18,1.47,23,13,1,7,0,0,2,0,0.54,-3
JAC,LAR,1,1,0.29,0.49,5,4,5,7,0,0,0,0,0.53,0
SJU,DOV,0,2,0.28,1.28,8,7,1,4,0,0,0,0,0.5,-2
PRO,MOB,2,3,2.38,2.0,24,11,2,5,0,0,0,0,0.41,-1
BOI,EUG,0,1,1.9,0.82,22,7,10,6,0,0,1,0,0.53,-1
CHM,LRO,1,1,1.74,0.84,22,9,7,4,0,0,1,0,0.49,0
OAK,SAS,2,7,2.36,0.72,18,9,6,3,0,0,0,0,0.44,-5
MAN,AUG,0,2,1.9,0.88,15,8,4,4,0,0,0,0,0.58,-2
DES,TOL,1,2,1.22,1.17,17,5,3,5,0,0,0,0,0.5,-1
TAC,ALB,3,3,0.36,1.21,2,7,3,5,0,0,0,0,0.56,0
FOR,FAR,3,1,1.96,1.19,21,9,9,7,0,0,0,0,0.48,2
ALB,REN,2,0,1.72,0.97,8,3,4,4,0,0,1,0,0.49,2
LEX,CHM,2,1,1.55,0.83,8,11,3,10,0,1,0,1,0.35,1
DOV,ANC,5,0,2.31,0.3,17,6,3,4,0,0,0,0,0.59,5
BAK,TUC,2,1,1.62,0.32,23,8,4,6,0,0,0,0,0.56,1
SPR,PRO,0,3,0.5,1.07,5,20,5,7,0,0,0,0,0.45,-3
MAN,JAC,3,0,2.81,0.63,20,13,4,0,0,0,0,0,0.58,3
EUG,OAK,0,0,0.72,1.02,14,11,5,7,0,0,1,0,0.47,0
SAS,BOI,3,3,2.42,1.32,11,17,8,0,0,0,0,0,0.53,0
TAC,WIC,0,3,1.32,1.63,21,9,7,3,0,0,0,0,0.5,-3
DES,MOB,0,1,1.26,1.07,15,9,5,6,0,0,0,0,0.58,-1
LRO,SJU,3,0,3.27,0.47,20,15,6,3,0,0,0,0,0.59,3
LAR,SFS,3,2,1.43,0.51,27,6,8,2,1,0,1,0,0.62,1
TOL,AUG,0,0,0.34,1.13,2,15,11,3,0,0,0,0,0.5,0
DOV,LRO,1,3,1.45,0.52,11,9,3,4,0,0,0,0,0.45,-2
LAR,MAN,3,1,1.86,1.58,16,21,2,4,0,0,1,0,0.53,2
OAK,ANC,0,7,1.43,1.66,21,10,4,2,0,0,0,0,0.43,-7
AUG,SJU,3,0,2.91,0.33,17,5,3,2,0,0,1,1,0.61,3
MOB,SFS,0,3,1.12,2.54,20,18,0,5,0,0,1,0,0.42,-3
TUC,FAR,2,3,1.61,1.36,3,14,3,1,0,0,0,0,0.45,-1
CHM,PRO,1,3,2.17,1.92,19,12,5,5,0,0,0,0,0.5,-2
BOI,BAK,3,0,1.02,0.75,13,2,9,5,0,0,0,0,0.52,3
FOR,ALB,0,2,2.15,1.13,18,13,2,0,0,0,0,0,0.71,-2
JAC,SPR,5,2,2.45,0.15,12,16,1,3,0,0,0,0,0.66,3
TOL,REN,3,1,1.49,1.33,19,17,6,9,0,0,0,1,0.48,2
OAK,FOR,4,3,2.48,1.75,14,12,7,10,1,0,2,0,0.41,1
CHM,MAN,1,1,1.18,1.33,19,10,5,5,0,0,0,0,0.53,0
LEX,DES,4,5,0.27,1.85,11,13,5,3,0,0,0,0,0.37,-1
BAK,SAS,1,2,1.56,1.56,14,19,7,4,0,0,0,0,0.42,-1
SPR,DOV,2,1,1.38,1.26,11,16,4,7,0,0,0,1,0.55,1
ALB,LRO,2,5,1.1,1.14,14,7,8,3,0,0,0,0,0.39,-3
SJU,ANC,0,0,0.46,0.56,7,2,4,5,0,0,0,0,0.53,0
REN,TUC,2,0,1.6,0.46,8,5,7,2,0,0,0,0,0.63,2
MOB,JAC,0,0,1.54,0.87,15,11,6,8,0,0,0,0,0.43,0
LAR,AUG,0,3,0.84,1.38,14,15,4,4,0,0,0,0,0.36,-3
FAR,BOI,2,0,2.55,0.57,19,7,6,3,0,0,0,0,0.55,2
SFS,TAC,2,2,1.86,0.91,15,14,1,5,1,0,2,0,0.6,0
WIC,EUG,5,1,1.68,0.69,15,4,4,6,0,0,0,0,0.48,4
AUG,LEX,3,1,4.03,0.87,25,10,9,4,0,0,1,0,0.65,2
JAC,CHM,3,1,2.93,1.24,20,13,5,2,0,0,0,0,0.56,2
REN,FOR,2,1,2.72,0.76,13,12,3,3,0,0,0,0,0.53,1
BOI,SJU,0,0,1.39,0.06,15,13,2,2,0,0,1,0,0.53,0
OAK,SFS,3,0,0.44,0.34,6,6,9,1,0,0,0,0,0.32,3
SAS,FAR,1,0,1.61,1.08,13,11,5,4,0,0,0,0,0.67,1
MAN,PRO,2,3,3.03,1.59,16,12,12,4,0,0,0,0,0.53,-1
ALB,BAK,1,0,0.67,0.77,16,17,5,3,0,0,0,0,0.52,1
SPR,LAR,2,5,1.76,0.93,20,2,3,6,0,0,0,0,0.58,-3
DES,AUG,2,3,2.17,2.05,15,19,3,6,0,0,0,0,0.47,-1
DOV,TOL,2,1,0.74,1.77,12,17,4,6,0,0,0,0,0.48,1
LEX,WIC,2,2,2.41,1.89,22,17,9,6,0,0,0,0,0.47,0
TUC,TAC,3,7,2.41,0.7,17,12,6,3,0,0,0,0,0.53,-4
LRO,MOB,4,3,3.05,1.18,25,11,9,3,1,0,2,0,0.53,1
ANC,EUG,0,0,1.97,0.67,19,14,5,5,0,0,0,0,0.47,0
JAC,MAN,1,1,1.14,1.08,15,3,4,0,0,0,0,0,0.54,0
PRO,CHM,0,1,0.94,0.97,16,16,2,6,0,0,0,0,0.42,-1
TAC,SJU,2,0,2.1,0.36,13,15,6,7,0,0,0,0,0.59,2
BAK,FAR,1,2,0.25,1.59,17,8,7,3,0,0,0,0,0.46,-1
TUC,LAR,0,3,2.02,0.78,25,6,4,5,0,0,1,0,0.43,-3
TOL,LRO,1,1,1.3,1.07,11,13,3,7,0,0,1,0,0.55,0
EUG,SFS,2,1,1.12,0.89,17,10,8,1,0,0,0,0,0.32,1
FOR,BOI,6,3,2.82,0.82,11,1,8,6,0,0,0,0,0.45,3
ANC,WIC,1,0,0.94,0.27,15,16,3,2,0,0,0,0,0.44,1
BOI,LEX,0,1,3.01,0.27,22,14,13,0,0,0,0,0,0.59,-1
MAN,DES,0,1,1.5,0.21,0,4,8,2,0,0,0,0,0.41,-1
SFS,ANC,2,1,2.31,0.81,5,13,4,6,0,0,0,0,0.52,1
WIC,SAS,2,1,1.13,1.29,21,15,4,2,0,0,2,0,0.54,1
TAC,BAK,4,2,2.26,0.81,14,20,9,8,0,0,0,0,0.57,2
LAR,JAC,1,3,1.95,0.63,19,8,6,1,1,0,1,0,0.4,-2
FOR,OAK,1,1,1.19,1.16,12,11,8,4,0,0,0,0,0.52,0
LRO,DOV,2,1,1.81,0.88,17,14,9,6,0,0,0,0,0.53,1
AUG,SPR,2,1,2.01,0.44,21,6,3,2,0,0,0,0,0.56,1
EUG,REN,2,0,1.28,0.68,13,7,3,4,0,0,0,0,0.35,2
TOL,MOB,2,3,0.93,1.29,8,8,5,5,0,0,0,0,0.44,-1
FAR,TUC,1,0,0.84,0.34,2,0,6,8,0,0,1,0,0.49,1
SJU,PRO,0,2,1.82,0.59,22,10,6,2,0,1,0,1,0.43,-2
CHM,ALB,0,1,1.62,1.16,16,13,1,7,0,0,0,0,0.52,-1
WIC,SFS,2,4,2.07,2.36,5,18,2,1,0,0,0,0,0.45,-2
REN,LEX,1,2,1.52,1.33,10,6,5,2,0,0,0,0,0.53,-1
MOB,PRO,1,5,2.34,1.54,14,11,4,7,0,0,0,0,0.41,-4
LAR,LRO,1,0,1.53,0.97,14,10,4,2,0,0,0,0,0.38,1
EUG,FOR,0,1,1.07,1.34,18,15,10,5,0,0,0,0,0.32,-1
LEX,MAN,0,0,0.65,1.02,16,9,2,2,0,0,1,0,0.52,0
ANC,SAS,2,7,1.42,1.66,19,13,0,4,0,0,0,1,0.41,-5
JAC,SJU,0,0,2.13,0.34,15,6,3,3,0,0,0,0,0.65,0
WIC,BAK,1,2,1.79,0.93,16,8,7,3,0,0,0,1,0.55,-1
DES,DOV,5,2,2.13,0.78,7,10,11,3,0,0,0,0,0.52,3
CHM,SPR,2,2,1.73,1.06,18,15,5,5,0,0,1,0,0.68,0
SFS,BOI,1,1,1.47,0.83,25,12,5,1,0,0,0,1,0.63,0
OAK,TUC,2,0,1.07,0.67,15,10,7,5,0,0,0,0,0.53,2
ALB,FAR,1,2,1.38,0.88,16,6,7,2,0,0,0,0,0.53,-1
AUG,TOL,1,0,2.11,0.21,20,9,9,5,0,0,0,1,0.57,1
TAC,REN,0,3,1.74,1.27,21,18,8,3,0,0,0,0,0.51,-3
DES,CHM,2,3,0.87,0.55,6,16,0,4,0,0,1,0,0.52,-1
PRO,TOL,3,0,3.13,0.61,17,5,1,3,0,0,0,0,0.4,3
SJU,LEX,3,1,3.01,1.24,18,16,6,5,0,0,0,0,0.57,2
TOL,CHM,0,3,1.67,1.6,27,16,7,8,0,0,0,0,0.46,-3
SPR,DES,1,1,1.15,0.41,13,13,8,2,0,0,0,0,0.28,0
FOR,ANC,0,2,2.14,1.31,11,10,2,3,0,0,0,0,0.58,-2
TUC,SFS,1,3,0.83,0.92,3,15,3,3,0,0,0,0,0.34,-2
PRO,JAC,0,4,1.05,1.11,13,12,7,4,0,0,0,0,0.39,-4
MAN,LAR,0,1,1.42,0.94,13,7,7,2,0,0,0,0,0.55,-1
FAR,OAK,1,4,1.69,1.56,13,20,8,4,0,0,1,0,0.66,-3
LRO,AUG,1,2,1.64,0.86,7,12,5,9,0,1,0,1,0.55,-1
BOI,ALB,0,3,1.37,0.97,15,21,7,7,0,0,1,0,0.48,-3
REN,WIC,2,2,1.97,1.56,19,15,7,3,0,0,1,0,0.56,0
SAS,TAC,1,2,0.71,0.51,19,12,7,7,0,0,0,0,0.42,-1
DOV,MOB,1,1,1.7,0.14,19,10,1,5,0,0,0,0,0.51,0
BAK,EUG,3,2,2.68,1.43,17,18,9,6,1,0,2,1,0.49,1
LRO,LEX,1,2,2.1,1.3,17,6,5,5,0,0,0,0,0.51,-1
WIC,SPR,1,1,1.73,0.57,13,1,1,7,0,0,0,0,0.56,0
